Order #,Date Created,Time Created,Shipped Quantity,Ship                Date,Order Type,SKU,Unit cube F ,Large Lines,Timestamp,Time Bucket,Hour
C01557510922,20260101,52,1,20251228,eCom,824367.0,0.336194444,OK,12:00:52 AM,12AM-2AM,0
C01557508969,20260101,52,1,20251227,eCom,21125.0,0.046489005,OK,12:00:52 AM,12AM-2AM,0
C01557507060,20260101,52,1,20251227,eCom,509964.0,0.268125,OK,12:00:52 AM,12AM-2AM,0
C01557511421,20260101,52,1,20251227,eCom,840440.0,0.348247685,OK,12:00:52 AM,12AM-2AM,0
C01557510917,20260101,52,1,20251227,eCom,905549.0,0.009388889,OK,12:00:52 AM,12AM-2AM,0
C01557513330,20260101,52,1,20251228,eCom,144293.0,0.434152199,OK,12:00:52 AM,12AM-2AM,0
C01557509945,20260101,52,1,20251227,eCom,52614.0,0.282222222,OK,12:00:52 AM,12AM-2AM,0
C01557509945,20260101,52,1,20251227,eCom,1076242.0,0.134583333,OK,12:00:52 AM,12AM-2AM,0
C01557509945,20260101,52,1,20251227,eCom,1059467.0,0.205682292,OK,12:00:52 AM,12AM-2AM,0
C01557507994,20260101,52,1,20251227,eCom,397779.0,0.225689815,OK,12:00:52 AM,12AM-2AM,0
C01557507994,20260101,52,1,20251227,eCom,401974.0,0.225689815,OK,12:00:52 AM,12AM-2AM,0
C01557507493,20260101,52,1,20251227,eCom,53095.0,0.045833333,OK,12:00:52 AM,12AM-2AM,0
C01557507493,20260101,52,1,20251227,eCom,1054093.0,0.106407407,OK,12:00:52 AM,12AM-2AM,0
C01557513810,20260101,52,1,20251228,eCom,343441.0,0.205427083,OK,12:00:52 AM,12AM-2AM,0
C01557504651,20260101,52,1,20251227,eCom,913851.0,0.021527778,OK,12:00:52 AM,12AM-2AM,0
C01557506131,20260101,52,1,20251227,eCom,991050.0,0.185972222,OK,12:00:52 AM,12AM-2AM,0
C01557506131,20260101,52,1,20251227,eCom,994980.0,0.187777778,OK,12:00:52 AM,12AM-2AM,0
C01557506131,20260101,52,1,20251227,eCom,758284.0,0.157849537,OK,12:00:52 AM,12AM-2AM,0
C01557506131,20260101,52,1,20251227,eCom,991438.0,0.155772569,OK,12:00:52 AM,12AM-2AM,0
C01557513325,20260101,52,1,20251227,eCom,920309.0,0.152,OK,12:00:52 AM,12AM-2AM,0
C01557513325,20260101,52,1,20251227,eCom,929885.0,0.118333333,OK,12:00:52 AM,12AM-2AM,0
C01557512844,20260101,52,1,20251227,eCom,64826.0,0.154023148,OK,12:00:52 AM,12AM-2AM,0
C01557512844,20260101,52,1,20251227,eCom,28213.0,0.115104167,OK,12:00:52 AM,12AM-2AM,0
C01557512844,20260101,52,1,20251227,eCom,28227.0,0.115104167,OK,12:00:52 AM,12AM-2AM,0
C01557511424,20260101,52,1,20251227,eCom,923262.0,0.2055,OK,12:00:52 AM,12AM-2AM,0
C01557511424,20260101,52,1,20251227,eCom,1050653.0,0.047322917,OK,12:00:52 AM,12AM-2AM,0
C01557511433,20260101,52,1,20251227,eCom,137569.0,0.01375,OK,12:00:52 AM,12AM-2AM,0
C01557511433,20260101,52,1,20251227,eCom,66599.0,0.212013889,OK,12:00:52 AM,12AM-2AM,0
C01557508978,20260101,52,1,20251227,eCom,747150.0,0.254114583,OK,12:00:52 AM,12AM-2AM,0
C01557508465,20260101,52,1,20251227,eCom,1052365.0,0.036271991,OK,12:00:52 AM,12AM-2AM,0
C01557513830,20260101,52,1,20251227,eCom,70736.0,0.347083333,OK,12:00:52 AM,12AM-2AM,0
C01557509472,20260101,52,1,20251227,eCom,1054670.0,0.061804977,OK,12:00:52 AM,12AM-2AM,0
C01557509472,20260101,52,1,20251227,eCom,19146.0,0.061804977,OK,12:00:52 AM,12AM-2AM,0
C01557509472,20260101,52,1,20251227,eCom,19150.0,0.061804977,OK,12:00:52 AM,12AM-2AM,0
C01557509470,20260101,52,1,20251227,eCom,665431.0,0.247847222,OK,12:00:52 AM,12AM-2AM,0
C01557511939,20260101,52,1,20251227,eCom,1058561.0,0.18140162,OK,12:00:52 AM,12AM-2AM,0
C01557509950,20260101,52,1,20251227,eCom,13954.0,0.187152778,OK,12:00:52 AM,12AM-2AM,0
C01557509950,20260101,52,1,20251227,eCom,24611.0,0.203150463,OK,12:00:52 AM,12AM-2AM,0
C01557504654,20260101,52,1,20251227,eCom,207772.0,0.16328125,OK,12:00:52 AM,12AM-2AM,0
C01557513340,20260101,52,1,20251227,eCom,331614.0,0.29521875,OK,12:00:52 AM,12AM-2AM,0
C01557513340,20260101,52,1,20251227,eCom,201521.0,0.3378125,OK,12:00:52 AM,12AM-2AM,0
C01557512440,20260101,52,1,20251227,eCom,296803.0,0.224697917,OK,12:00:52 AM,12AM-2AM,0
C01557512852,20260101,52,1,20251228,eCom,980355.0,0.3378125,OK,12:00:52 AM,12AM-2AM,0
C01557510431,20260101,52,1,20251227,eCom,1170767.0,0.303543981,OK,12:00:52 AM,12AM-2AM,0
