Large Lines,OK,,,,,,,,,
,,,,,,,,,,
Row Labels,Sum of Shipped Quantity,%,Cumul %,Classification,Days on Hand,Daily Demand,Units on Hand,Item Cube,Cube on Hand,Bins Needed
28227,4594,0.5%,0.5%,AA,2,177,353,0.115104167,40.7,18
524603,3501,0.4%,0.8%,AA,2,135,269,0.305229167,82.2,37
904951,3369,0.3%,1.2%,AA,2,130,259,0.021487269,5.6,3
28213,1852,0.2%,1.4%,AA,2,71,142,0.115104167,16.4,8
525017,1834,0.2%,1.6%,AA,2,71,141,0.310074074,43.7,20
909196,1658,0.2%,1.7%,AA,2,64,128,0.027920139,3.6,2
28456,1605,0.2%,1.9%,AA,2,62,123,0.118333333,14.6,7
40434,1484,0.2%,2.1%,AA,2,57,114,0.052046296,5.9,3
524969,1480,0.2%,2.2%,AA,2,57,114,0.308583333,35.1,16
137158,1253,0.1%,2.3%,AA,2,48,96,0.025833333,2.5,2
909446,1155,0.1%,2.5%,AA,2,44,89,0.0121875,1.1,1
137175,1124,0.1%,2.6%,AA,2,43,86,0.304864583,26.4,12
137004,1075,0.1%,2.7%,AA,2,41,83,0.056138889,4.6,3
524954,1065,0.1%,2.8%,AA,2,41,82,0.314339699,25.8,12
28225,977,0.1%,2.9%,AA,2,38,75,0.090574074,6.8,3
914570,933,0.1%,3.0%,AA,2,36,72,0.093683333,6.7,3
905070,920,0.1%,3.1%,AA,2,35,71,0.021944444,1.6,1
125368,902,0.1%,3.2%,AA,2,35,69,0.172302083,12.0,6
137014,879,0.1%,3.3%,AA,2,34,68,0.047277778,3.2,2
936209,863,0.1%,3.4%,AA,2,33,66,0.174230324,11.6,6
929885,837,0.1%,3.5%,AA,2,32,64,0.118333333,7.6,4
43001,810,0.1%,3.5%,AA,2,31,62,0.171592593,10.7,5
922172,793,0.1%,3.6%,AA,2,31,61,0.191151042,11.7,6
909215,793,0.1%,3.7%,AA,2,31,61,0.027920139,1.7,1
524918,786,0.1%,3.8%,AA,2,30,60,0.261886574,15.8,7
84891,778,0.1%,3.9%,AA,2,30,60,0.499375,29.9,14
907238,776,0.1%,3.9%,AA,2,30,60,0.022303241,1.3,1
524598,772,0.1%,4.0%,AA,2,30,59,0.128576389,7.6,4
75616,760,0.1%,4.1%,AA,2,29,58,0.314618056,18.4,9
137032,739,0.1%,4.2%,AA,2,28,57,0.041790104,2.4,2
915968,720,0.1%,4.2%,AA,2,28,55,0.11484375,6.4,3
1047287,719,0.1%,4.3%,AA,2,28,55,0.138541667,7.7,4
202355,689,0.1%,4.4%,AA,2,27,53,0.273523148,14.5,7
35283,676,0.1%,4.5%,AA,2,26,52,0.0995625,5.2,3
29332,618,0.1%,4.5%,AA,2,24,48,0.13,6.2,3
137031,612,0.1%,4.6%,AA,2,24,47,0.01375,0.6,1
526226,608,0.1%,4.7%,AA,2,23,47,0.124902778,5.8,3
702801,607,0.1%,4.7%,AA,2,23,47,0.334140625,15.6,7
