 Storage ,,,
Bins,"75,880",,
Bays,"1,518",37.95,18.975
Sqftage Needed,"105,197",,
,,,
Picker Wall ,,,
Max Active SKUs / 2HR Period / Day,"4,035",--> this is the max capacity of picker wall,
Active Totes / SKU,1,,
Locations,"4,035",,
Bays,162,4.05,
Sqftage Needed,"11,227",,
,,,
dedicated bot aisles and picker aisles,,,
an area for decanting (decant into totes),,,
assume 10 units/bin/tote,,,
place tote with product onto shelf and bot pick,,,
,,,
5' for aisles,,,
8' for picker aisles,,,
,,,
Decant,,,
Peak Daily Units Decanted,"41,737",,
Turns,4,,
Peak Daily Units Staged in Decant,"10,434",,
Peak Daily Bins Staged in Decant,"1,043",,
Peak Bays Needed,42,,
